Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EmployeeCount,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Location,DailyRate,HourlyRate,MonthlyRate,EnvironmentSatisfaction,Tenure_Years
39,Yes,Travel_Rarely,Sales,11,B.Tech,2,Female,3,3,Senior,1,Single,159809.0,8,No,24.3,3,2,13,0,4,13,3,5,Mumbai,848,104,40891,2,13
22,No,Non-Travel,Sales,17,B.Tech,4,Female,2,2,Specialist,5,Single,106753.0,2,No,22.9,4,2,14,3,1,7,2,6,Chennai,736,65,37724,1,7
44,Yes,Non-Travel,Marketing,26,High School,5,Male,2,1,Executive,3,Married,175278.0,4,Yes,19.7,3,4,5,3,3,4,0,4,Delhi,680,127,30871,4,4
24,No,Travel_Frequently,Support,27,High School,3,Male,4,2,Specialist,4,Divorced,154061.0,7,No,10.5,1,2,23,2,2,5,3,10,Kolkata,1709,160,24785,3,5
49,No,Non-Travel,Marketing,21,M.Sc,3,Female,3,5,Specialist,1,Divorced,82632.0,5,No,24.5,2,4,24,3,2,13,2,6,Kolkata,897,68,34014,4,13
38,No,Travel_Rarely,R&D,14,High School,2,Female,1,1,Associate,2,Married,97569.0,8,Yes,24.9,1,1,20,4,4,1,9,0,Mumbai,725,162,43220,1,1
55,No,Travel_Rarely,R&D,11,Bachelor's,4,Male,1,1,Specialist,4,Single,77647.0,0,Yes,21.1,10,3,16,2,1,12,5,0,Mumbai,798,100,34240,4,12
26,Yes,Non-Travel,Engineering,30,B.Tech,4,Male,4,2,Specialist,1,Married,208862.0,7,Yes,16.3,4,2,15,3,1,12,10,4,Kolkata,1303,181,12088,3,12
56,No,Travel_Rarely,Admin,5,High School,3,Male,1,2,Associate,1,Divorced,32852.0,10,No,13.1,3,3,10,1,2,2,10,10,Jaipur,688,67,12754,4,2
35,Yes,Travel_Frequently,Marketing,9,PhD,2,Female,4,3,Lead,3,Single,200682.0,3,Yes,22.1,4,3,11,0,2,9,5,3,Jaipur,1310,167,19363,3,9
53,Yes,Travel_Frequently,Operations,24,MBA,3,Female,2,1,Manager,1,Divorced,122521.0,5,Yes,20.0,3,1,12,6,2,3,10,5,Kolkata,1896,91,38024,3,3
35,No,Travel_Frequently,Operations,3,High School,1,Male,2,2,Executive,1,Divorced,201263.0,9,Yes,16.4,4,3,12,6,1,11,2,8,Jaipur,1793,200,23536,4,11
29,No,Travel_Frequently,HR,16,B.Tech,3,Male,4,3,Manager,1,Divorced,195141.0,5,No,17.3,1,4,17,5,3,14,9,5,Delhi,885,167,15721,1,14
48,Yes,Non-Travel,Engineering,2,Master's,4,Male,4,5,Analyst,2,Married,111365.0,9,No,19.8,2,3,0,2,4,0,9,5,Jaipur,1371,59,33230,4,0
57,No,Travel_Frequently,HR,19,B.Tech,4,Female,4,2,Manager,2,Single,164405.0,10,Yes,23.4,1,1,4,6,1,4,3,3,Ahmedabad,705,116,49710,1,4
32,No,Non-Travel,Finance,13,Diploma,3,Female,4,2,Associate,3,Single,66365.0,7,No,14.1,2,4,0,0,3,0,0,9,Chandigarh,1196,172,43608,1,0
51,No,Travel_Frequently,Support,20,M.Sc,2,Male,4,5,Analyst,3,Single,129726.0,1,No,15.2,4,4,18,6,3,12,7,2,Jaipur,1947,153,22451,2,12
50,Yes,Travel_Rarely,HR,9,High School,3,Male,2,3,Manager,2,Separated,129848.0,0,No,13.4,2,1,3,4,2,0,2,7,Jaipur,1402,68,27411,1,0
35,Yes,Travel_Frequently,Engineering,10,Diploma,1,Female,3,4,Specialist,1,Single,32978.0,0,Yes,23.8,1,4,11,6,1,9,3,5,Delhi,1617,136,21619,4,9
36,No,Travel_Frequently,Sales,30,High School,2,Female,2,5,Manager,4,Separated,151371.0,10,No,15.4,10,1,10,2,3,9,3,4,Bangalore,608,170,49316,4,9
56,Yes,Travel_Rarely,IT,26,MBA,5,Male,3,3,Associate,3,Separated,115901.0,5,No,22.6,4,4,0,0,3,0,1,7,Bangalore,1485,73,39301,2,0
41,No,Non-Travel,Marketing,16,MBA,2,Male,4,3,Senior,1,Single,126000.0,4,Yes,15.1,2,3,11,6,3,3,5,1,Mumbai,565,75,23425,1,3
37,Yes,Travel_Frequently,Marketing,8,M.Sc,5,Female,2,3,Executive,3,Single,156485.0,1,Yes,24.1,2,1,22,6,2,5,2,6,Delhi,793,134,22617,2,5
34,No,Travel_Frequently,Sales,13,Bachelor's,2,Male,2,1,Executive,4,Single,38760.0,3,Yes,15.2,4,2,21,5,2,9,8,10,Ahmedabad,1673,80,15102,4,9
57,Yes,Travel_Rarely,Marketing,8,B.Tech,3,Female,4,1,Junior,3,Divorced,43174.0,9,No,16.2,1,4,23,6,1,3,2,6,Jaipur,1859,111,46423,1,3
57,Yes,Non-Travel,Support,25,M.Sc,1,Male,3,4,Analyst,3,Married,227740.0,3,No,23.0,2,2,3,6,4,50,4,9,Ahmedabad,914,85,41552,3,50
40,Yes,Non-Travel,IT,10,B.Tech,3,Male,1,2,Analyst,1,Separated,233174.0,10,No,24.4,2,1,20,6,3,6,8,4,Kolkata,1588,51,16028,5,6
60,Yes,Travel_Rarely,IT,11,M.Sc,3,Male,1,2,Manager,1,Divorced,229887.0,7,Yes,15.0,1,3,1,4,1,1,9,4,Pune,1613,188,28997,3,1
36,No,Non-Travel,HR,5,B.Tech,5,Female,4,3,Executive,3,Married,0.0,3,No,21.0,2,2,12,1,1,1,2,7,Kolkata,1748,99,12025,4,1
53,No,Travel_Frequently,Admin,28,PhD,5,Male,2,2,Manager,2,Separated,363417.75,4,No,13.0,2,3,8,4,2,4,6,6,Jaipur,1651,176,18502,2,4
45,Yes,Travel_Rarely,Sales,13,Bachelor's,3,Female,1,3,Executive,2,Divorced,203218.0,7,Yes,12.2,3,3,4,3,4,2,1,4,Delhi,852,87,35017,1,2
57,Yes,Non-Travel,Operations,30,PhD,5,Female,2,5,Executive,1,Divorced,47456.0,7,No,15.9,3,2,24,0,3,10,2,2,Ahmedabad,1413,173,11651,1,10
31,No,Travel_Rarely,HR,16,Diploma,1,Female,2,4,Senior,2,Married,172943.0,5,No,23.8,2,3,11,4,3,1,0,4,Delhi,1365,94,41865,3,1
35,No,Travel_Frequently,Operations,10,Diploma,1,Male,3,2,Associate,1,Married,136783.0,7,No,23.3,2,2,6,1,4,0,4,3,Ahmedabad,1854,125,22114,3,0
22,No,Travel_Frequently,Finance,15,High School,3,Female,3,2,Manager,2,Married,112634.0,10,No,12.7,3,3,8,0,3,2,7,0,Jaipur,1251,104,32892,3,2
22,Yes,Non-Travel,IT,27,Master's,2,Female,1,5,Executive,1,Married,73673.0,3,No,21.8,1,4,3,1,4,2,4,2,Kolkata,1568,63,27864,4,2
52,No,Travel_Frequently,R&D,15,High School,2,Male,2,2,Manager,4,Married,165578.0,8,Yes,14.1,3,4,8,5,1,1,7,5,Chandigarh,1741,64,22309,3,1
29,Yes,Travel_Frequently,Sales,23,High School,5,Male,4,1,Senior,2,Single,207392.0,3,No,16.1,4,3,2,0,1,1,0,0,Jaipur,1687,104,46200,0,1
23,Yes,Travel_Rarely,HR,7,Master's,5,Male,1,4,Senior,1,Separated,162795.0,5,No,25.0,1,2,18,5,1,1,6,4,Pune,1591,173,16350,2,1
39,Yes,Travel_Rarely,Engineering,27,B.Tech,3,Female,3,4,Senior,1,Single,121260.0,9,No,17.6,3,3,4,4,3,1,4,10,Delhi,630,157,45676,4,1
58,No,Travel_Frequently,IT,27,PhD,3,Male,4,5,Specialist,2,Separated,162037.0,7,No,24.3,3,1,11,4,1,10,8,8,Kolkata,1340,51,38688,1,10
56,Yes,Travel_Rarely,Finance,7,Diploma,3,Female,2,4,Specialist,1,Single,41205.0,7,Yes,19.3,1,2,19,6,2,9,1,8,Pune,825,151,34130,2,9
46,No,Non-Travel,R&D,18,B.Tech,1,Female,3,2,Lead,3,Divorced,173348.0,9,No,13.8,4,1,2,4,1,1,1,9,Kolkata,1835,131,33682,3,1
59,No,Travel_Frequently,Sales,28,B.Tech,3,Female,2,4,Senior,1,Divorced,198501.0,3,Yes,13.3,4,4,100,6,3,4,9,3,Hyderabad,1455,122,24988,1,4
24,No,Non-Travel,HR,14,M.Sc,1,Male,3,4,Senior,2,Divorced,157879.0,4,Yes,10.6,3,2,25,2,4,15,8,3,Delhi,1708,150,20882,2,15
55,No,Travel_Rarely,Finance,1,High School,3,Male,2,3,Executive,2,Divorced,211627.0,10,No,14.8,2,3,3,1,2,2,2,3,Mumbai,617,50,20576,4,2
29,No,Travel_Rarely,Finance,5,Diploma,1,Male,3,1,Manager,4,Separated,107446.0,2,No,10.4,2,1,2,2,3,1,5,8,Jaipur,1576,163,29309,4,1
48,No,Travel_Frequently,R&D,0,Bachelor's,1,Female,4,2,Lead,1,Separated,125218.0,4,Yes,22.3,4,3,23,5,3,11,8,8,Pune,1730,93,12875,4,11
30,Yes,Travel_Rarely,R&D,19,B.Tech,1,Male,3,4,Lead,4,Separated,136783.0,5,Yes,19.0,1,1,22,5,2,11,4,8,Pune,988,80,30011,2,11
58,No,Non-Travel,IT,3,Master's,4,Female,1,4,Manager,2,Single,40050.0,6,No,18.0,3,2,5,5,1,4,7,2,Ahmedabad,960,94,14923,3,4
51,No,Travel_Frequently,Operations,17,PhD,1,Male,4,5,Manager,4,Separated,55424.0,6,Yes,20.4,1,2,8,1,3,8,7,4,Pune,1218,78,25540,3,8
47,Yes,Non-Travel,Operations,15,PhD,4,Male,3,2,Executive,2,Separated,32123.0,9,No,24.6,1,3,4,5,2,4,1,9,Pune,1242,185,15256,1,4
57,Yes,Travel_Rarely,Marketing,16,MBA,2,Female,1,2,Junior,2,Separated,139084.0,1,No,18.5,1,1,25,1,3,10,8,10,Mumbai,1967,61,46178,1,10
54,No,Travel_Rarely,Engineering,12,B.Tech,4,Male,3,3,Junior,2,Married,39779.0,8,Yes,17.2,2,1,6,1,1,3,1,0,Mumbai,1564,153,43244,4,3
40,Yes,Non-Travel,Sales,19,M.Sc,3,Female,4,2,Analyst,1,Single,170554.0,8,Yes,21.2,1,1,18,4,1,14,7,0,Ahmedabad,1772,166,37692,3,14
33,Yes,Non-Travel,Operations,8,Bachelor's,5,Male,2,4,Analyst,1,Divorced,203936.0,0,No,12.8,3,3,9,2,3,6,9,6,Mumbai,1203,105,43917,2,6
31,No,Travel_Frequently,HR,20,B.Tech,1,Female,1,5,Junior,3,Divorced,130211.0,10,Yes,19.5,4,1,14,3,2,0,9,9,Hyderabad,1210,61,33011,3,0
50,Yes,Non-Travel,IT,20,Bachelor's,4,Female,2,4,Associate,1,Married,184662.0,6,No,22.5,3,4,5,0,3,0,3,9,Delhi,1026,128,38895,3,0
48,Yes,Travel_Frequently,Operations,28,MBA,2,Male,4,3,Manager,3,Married,136783.0,2,Yes,16.0,3,1,13,3,3,10,8,6,Delhi,1992,175,32119,3,10
34,No,Travel_Rarely,Finance,8,Diploma,1,Male,3,4,Manager,1,Divorced,45955.0,8,Yes,24.5,2,4,16,0,1,12,3,5,Pune,1649,112,22557,3,12
47,Yes,Travel_Rarely,Finance,8,M.Sc,5,Female,1,2,Specialist,4,Single,100980.0,2,Yes,12.6,1,2,25,0,3,7,10,9,Jaipur,1579,177,17373,2,7
22,Yes,Travel_Rarely,Admin,1,Diploma,2,Male,2,2,Junior,4,Married,58739.0,3,Yes,18.6,1,2,20,1,1,12,2,7,Pune,502,110,21222,2,12
54,No,Non-Travel,Support,0,Bachelor's,2,Female,2,5,Executive,1,Divorced,76274.0,8,Yes,13.9,4,3,13,6,2,1,8,5,Chandigarh,1174,78,40627,2,1
43,Yes,Travel_Frequently,R&D,26,Diploma,5,Female,1,3,Executive,4,Single,136783.0,4,No,18.9,1,4,10,1,4,7,9,9,Mumbai,1587,195,38739,1,7
51,No,Non-Travel,Marketing,3,PhD,3,Female,1,5,Analyst,4,Separated,229642.0,4,Yes,12.1,3,2,0,4,1,0,2,1,Pune,1966,50,16274,4,0
47,Yes,Non-Travel,Admin,4,B.Tech,4,Female,3,4,Junior,4,Separated,192071.0,8,Yes,24.1,2,4,6,6,2,6,8,1,Bangalore,1080,70,41320,1,6
46,Yes,Non-Travel,HR,26,PhD,3,Female,3,3,Senior,1,Single,200287.0,3,Yes,12.4,3,4,0,0,4,0,1,1,Mumbai,1852,136,14659,2,0
41,No,Travel_Rarely,IT,3,Diploma,5,Male,4,2,Analyst,2,Single,64714.0,9,No,15.9,2,4,12,0,2,2,3,1,Jaipur,1143,56,12531,0,2
42,No,Travel_Rarely,Marketing,3,Diploma,4,Male,3,4,Specialist,1,Single,237040.0,4,No,15.3,1,2,9,5,1,3,8,7,Bangalore,1221,88,45593,4,3
31,No,Travel_Frequently,Finance,22,High School,2,Male,1,5,Executive,2,Married,72708.0,1,No,13.1,4,4,20,1,3,12,1,8,Bangalore,1091,63,21143,1,12
27,No,Travel_Frequently,Engineering,11,Diploma,5,Female,3,1,Junior,1,Single,78185.0,8,No,24.8,4,2,6,4,4,6,0,2,Pune,1652,73,43045,3,6
55,No,Travel_Frequently,Marketing,17,Bachelor's,2,Male,3,3,Junior,4,Married,118974.0,10,Yes,18.3,3,3,19,1,3,11,7,10,Kolkata,977,69,30114,3,11
41,No,Non-Travel,Support,22,High School,1,Male,4,5,Associate,2,Single,69549.0,8,Yes,17.9,3,4,20,3,3,0,7,7,Hyderabad,602,147,10941,4,0
36,Yes,Travel_Frequently,Admin,21,Bachelor's,3,Female,2,3,Specialist,1,Separated,363417.75,10,Yes,11.0,4,2,20,3,1,7,0,9,Ahmedabad,1267,143,24647,4,7
60,No,Travel_Rarely,Marketing,23,Bachelor's,1,Male,1,4,Specialist,-1,Single,75832.0,0,No,20.0,1,4,16,3,2,15,4,9,Hyderabad,1096,68,26530,4,15
26,Yes,Travel_Rarely,Engineering,7,Diploma,3,Female,1,1,Senior,1,Married,240814.0,2,Yes,12.9,4,2,14,0,4,3,6,7,Chandigarh,1238,64,44211,2,3
57,Yes,Travel_Frequently,Support,16,B.Tech,5,Female,4,3,Manager,3,Separated,242271.0,8,Yes,12.6,3,3,0,3,2,0,8,10,Pune,1304,63,38077,1,0
34,No,Travel_Frequently,Engineering,5,MBA,4,Male,2,2,Analyst,1,Divorced,162824.0,5,No,20.1,1,4,1,1,4,0,3,3,Kolkata,942,176,38287,3,0
23,No,Travel_Rarely,Support,27,M.Sc,5,Female,3,1,Senior,3,Separated,120561.0,9,No,14.0,1,2,18,2,4,8,7,6,Hyderabad,581,164,23417,3,8
39,Yes,Travel_Rarely,Engineering,29,MBA,5,Female,3,3,Senior,3,Married,211690.0,4,No,17.1,3,1,18,4,1,3,6,10,Delhi,1189,100,35640,3,3
47,No,Travel_Rarely,HR,6,MBA,4,Female,2,2,Specialist,3,Separated,34964.0,8,Yes,23.2,2,2,21,3,2,12,7,0,Delhi,1244,180,46964,1,12
47,No,Non-Travel,IT,22,Bachelor's,1,Male,3,5,Junior,3,Married,181925.0,10,No,19.8,1,1,11,4,2,0,0,0,Jaipur,1236,111,41677,1,0
31,No,Travel_Frequently,Operations,26,PhD,4,Female,2,1,Specialist,4,Separated,134718.0,4,No,14.5,3,3,12,4,1,10,7,6,Chandigarh,1838,157,35766,3,10
44,Yes,Non-Travel,Operations,17,B.Tech,1,Female,2,2,Junior,4,Married,235871.0,3,Yes,17.9,1,1,0,4,4,0,4,9,Hyderabad,565,170,27022,1,0
49,No,Travel_Frequently,Sales,19,Bachelor's,3,Female,1,2,Associate,3,Separated,72291.0,8,Yes,17.7,4,3,24,6,2,13,2,5,Delhi,1218,58,46254,2,13
51,No,Travel_Rarely,IT,4,Bachelor's,2,Male,2,2,Manager,2,Separated,85754.0,4,No,16.2,3,2,22,5,1,0,3,6,Bangalore,1578,67,25967,2,0
51,No,Travel_Frequently,Support,14,B.Tech,4,Male,2,3,Junior,4,Divorced,185767.0,1,No,13.3,2,3,10,5,3,3,7,2,Jaipur,1035,161,20661,3,3
50,Yes,Travel_Rarely,Admin,15,PhD,2,Male,2,1,Executive,3,Separated,134478.0,4,Yes,14.4,1,2,12,0,3,10,6,9,Chandigarh,1662,171,10122,1,10
57,No,Non-Travel,R&D,20,PhD,3,Female,2,4,Specialist,4,Married,25640.0,7,Yes,19.8,4,4,4,3,3,1,6,8,Hyderabad,1567,177,17772,3,1
43,Yes,Travel_Rarely,R&D,3,High School,3,Female,1,3,Lead,4,Single,170541.0,10,No,24.6,1,2,14,5,1,2,8,5,Chennai,1567,73,44902,1,2
31,No,Travel_Rarely,Finance,27,MBA,1,Male,2,5,Lead,4,Married,174405.0,4,No,17.3,3,3,22,6,4,11,2,1,Mumbai,1130,194,33704,1,11
22,No,Travel_Frequently,R&D,12,High School,2,Male,1,4,Senior,3,Separated,224899.0,4,Yes,10.2,1,4,2,0,4,1,10,4,Mumbai,1917,171,14704,2,1
33,Yes,Non-Travel,IT,26,M.Sc,3,Female,3,4,Manager,4,Married,160145.0,8,Yes,11.5,2,2,21,5,3,9,5,9,Mumbai,1350,135,13422,1,9
47,Yes,Travel_Rarely,Sales,23,PhD,1,Male,2,1,Analyst,4,Divorced,203603.0,4,No,21.4,4,1,3,1,1,1,4,8,Chennai,1464,196,43811,3,1
42,No,Travel_Frequently,Admin,17,M.Sc,3,Female,4,1,Manager,2,Separated,235217.0,0,No,23.2,1,1,0,6,2,0,10,7,Chandigarh,1598,134,32682,2,0
52,No,Non-Travel,Finance,23,High School,1,Male,2,2,Executive,2,Divorced,117187.0,8,No,19.7,3,1,12,3,3,1,10,7,Chandigarh,1020,139,10118,3,1
34,Yes,Travel_Frequently,R&D,26,M.Sc,1,Male,1,2,Junior,1,Single,171814.0,7,Yes,21.1,3,4,25,3,4,3,4,10,Jaipur,1685,166,47075,2,3
39,Yes,Travel_Rarely,Operations,8,High School,4,Male,2,4,Manager,2,Separated,72507.0,2,No,16.1,1,1,5,3,2,4,10,4,Mumbai,685,174,40173,3,4
53,Yes,Non-Travel,R&D,17,B.Tech,5,Male,4,2,Executive,3,Married,74830.0,7,Yes,18.3,3,2,3,2,1,1,0,7,Chandigarh,1984,122,44060,4,1
37,Yes,Travel_Frequently,R&D,26,Diploma,5,Female,3,5,Associate,3,Single,170589.0,6,Yes,23.3,1,1,25,3,3,10,7,4,Kolkata,1049,166,31005,2,10
32,Yes,Travel_Frequently,Engineering,17,PhD,4,Male,3,5,Senior,3,Separated,150188.0,9,Yes,15.3,3,4,10,6,2,10,4,3,Chandigarh,1267,127,33778,3,10
55,Yes,Travel_Frequently,Operations,26,Diploma,1,Male,2,2,Lead,3,Divorced,104984.0,7,Yes,23.2,2,1,25,1,2,3,4,7,Jaipur,1700,166,12051,3,3
32,No,Travel_Rarely,Finance,15,PhD,5,Female,1,2,Manager,2,Married,79345.0,10,No,25.0,1,4,25,6,1,7,5,4,Ahmedabad,513,173,14666,2,7
50,Yes,Travel_Frequently,Support,23,High School,2,Male,4,5,Executive,4,Married,170831.0,5,Yes,23.7,3,4,21,5,2,4,3,3,Pune,1640,95,47845,3,4
29,No,Non-Travel,Support,1,Master's,1,Female,1,1,Lead,2,Divorced,219785.0,9,No,10.9,2,2,19,4,2,15,6,0,Pune,1342,104,46982,2,15
24,Yes,Travel_Rarely,Support,18,PhD,3,Female,2,4,Manager,3,Single,194502.0,7,Yes,24.9,1,3,5,2,1,4,8,6,Pune,584,104,29214,1,4
47,Yes,Travel_Rarely,Finance,3,PhD,3,Male,4,3,Specialist,2,Separated,125640.0,1,Yes,21.3,4,4,2,2,1,2,8,4,Mumbai,1627,110,21477,2,2
36,Yes,Travel_Rarely,R&D,2,PhD,5,Male,3,4,Analyst,4,Separated,226657.0,8,No,13.7,1,1,11,4,2,11,8,4,Hyderabad,618,108,13635,1,11
48,Yes,Travel_Frequently,Engineering,27,High School,2,Female,3,2,Manager,1,Separated,143627.0,4,No,24.0,4,3,14,6,1,5,4,7,Chennai,1171,168,40951,2,5
25,No,Travel_Frequently,Marketing,14,PhD,4,Female,2,5,Senior,2,Married,59280.0,0,Yes,23.6,3,1,18,2,3,5,3,7,Ahmedabad,526,103,30230,4,5
34,No,Travel_Frequently,Finance,25,Master's,5,Male,3,2,Associate,2,Divorced,157310.0,1,Yes,11.2,4,3,16,6,2,13,2,4,Ahmedabad,738,172,40707,4,13
50,Yes,Travel_Rarely,R&D,11,Bachelor's,2,Male,3,5,Associate,3,Single,163686.0,5,No,24.0,1,4,16,4,4,6,0,2,Bangalore,1828,81,23402,4,6
59,Yes,Travel_Frequently,Sales,4,Diploma,5,Female,1,1,Specialist,1,Single,189168.0,8,Yes,16.8,1,2,13,6,2,4,4,4,Kolkata,1553,141,11628,3,4
30,No,Travel_Rarely,Operations,19,M.Sc,2,Male,2,2,Executive,3,Married,117676.0,7,Yes,22.6,2,2,0,5,2,0,1,9,Chennai,1349,189,14642,3,0
40,No,Non-Travel,HR,7,Diploma,3,Male,4,5,Manager,1,Separated,102150.0,2,Yes,16.0,4,2,19,1,1,12,10,3,Kolkata,1213,164,44529,2,12
42,Yes,Travel_Rarely,Sales,4,M.Sc,4,Male,4,5,Specialist,4,Divorced,65811.0,9,No,12.7,3,2,10,4,4,10,2,0,Chennai,1361,106,35406,4,10
23,No,Travel_Frequently,Sales,13,Master's,2,Male,4,5,Lead,4,Married,246864.0,9,Yes,13.8,3,2,25,0,3,15,6,4,Mumbai,1962,184,23736,1,15
27,Yes,Travel_Frequently,IT,11,Diploma,2,Male,1,5,Specialist,1,Single,233402.0,1,No,18.2,3,2,8,6,1,7,5,2,Delhi,776,196,31318,4,7
37,Yes,Travel_Rarely,R&D,20,Bachelor's,3,Male,4,4,Analyst,1,Separated,221695.0,9,No,11.7,4,3,14,4,3,9,4,3,Pune,1872,104,26218,1,9
38,No,Travel_Rarely,R&D,12,PhD,3,Male,4,4,Specialist,3,Single,78629.0,9,No,15.9,4,4,23,1,4,8,6,3,Kolkata,546,143,20705,3,8
34,Yes,Travel_Rarely,Finance,14,B.Tech,2,Female,4,2,Associate,4,Married,105786.0,10,Yes,11.0,4,3,18,6,3,11,6,1,Pune,1614,51,26727,1,11
44,No,Travel_Frequently,Operations,25,MBA,1,Female,4,2,Analyst,4,Separated,101279.0,0,Yes,14.7,4,4,15,4,4,4,10,7,Pune,550,154,20691,1,4
